city,cityLabel,population
http://www.wikidata.org/entity/Q13670,Syracuse,121171
http://www.wikidata.org/entity/Q13678,Agrigento,59329
http://www.wikidata.org/entity/Q13934,Rubí,79007
http://www.wikidata.org/entity/Q14433,Huechuraba,74070
http://www.wikidata.org/entity/Q14453,Egilsstaðir,2332
http://www.wikidata.org/entity/Q14649,Avilés,75877
http://www.wikidata.org/entity/Q14903,Voerde,35889
http://www.wikidata.org/entity/Q14912,Saarlouis,34445
http://www.wikidata.org/entity/Q14956,Wesseling,37519
http://www.wikidata.org/entity/Q14957,Papenburg,37885
http://www.wikidata.org/entity/Q15092,Castelló de la Plana,171857
http://www.wikidata.org/entity/Q15174,Shenzhen,17494398
http://www.wikidata.org/entity/Q15420,Granollers,61983
http://www.wikidata.org/entity/Q15468,Badalona,223506
http://www.wikidata.org/entity/Q15471,Sant Adrià de Besòs,36918
http://www.wikidata.org/entity/Q15639,Sant Feliu de Llobregat,45642
http://www.wikidata.org/entity/Q15640,Sant Joan Despí,34039
http://www.wikidata.org/entity/Q15855,Bovec,1586
http://www.wikidata.org/entity/Q15858,Brežice,6843
http://www.wikidata.org/entity/Q15860,Cerknica,4018
http://www.wikidata.org/entity/Q15861,Črnomelj,5496
http://www.wikidata.org/entity/Q15865,Domžale,13204
http://www.wikidata.org/entity/Q201186,Biskupiec,10163
